World War I: The Seminal Tragedy - Lies - Extra History,2014-10-25,701624,12757,222,994,aiKGPAMIWKs,977.0
Warring States Japan: Sengoku Jidai - Lies - Extra History,2015-02-14,569523,8280,333,759,0lNYvGEmRO4,833.0
England: South Sea Bubble - Lies - Extra History,2015-05-09,491207,7682,168,697,NqeXXzKTzRU,1263.0
Zulu Empire - Lies - Extra History,2015-06-13,436190,6621,149,420,0C6pjINyK5Y,723.0
Byzantine Empire: Justinian and Theodora - Lies - Extra History,2015-08-01,454957,7328,143,566,FZwsRVgEu3A,1095.0
Europe: The First Crusade - Lies - Extra History,2015-09-19,613746,9351,436,1059,15KhdeIc0EI,1539.0
Middle East: Odenathus - Ghosts of the Desert - Extra History,2015-10-31,1279261,22692,263,983,0Pf6PMSB8uo,501.0
Middle East: Palmyra Today - Afterword - Extra History,2015-10-31,421322,13086,116,1410,v-GgknZYu3s,203.0
Korea: Admiral Yi - Lies - Extra History,2015-11-07,589189,10430,188,900,C3yCzHIbkgA,1240.0
♫ Admiral Yi: Drums of War - Sean and Dean Kiner - Extra History Music,2015-11-07,686870,12299,76,747,OYz0y5xUqmk,61.0
The Sanitary Movement - A John Snow Epilogue - Extra History,2015-12-05,1022619,22474,116,1209,cba7di0eL8I,394.0
England: The Broad Street Pump - Lies - Extra History,2015-12-12,317908,5820,94,601,rg_7q_FPjxQ,906.0
♫ The Broad Street Pump Theme - Sean and Dean Kiner - Extra History Music,2015-12-12,291451,4460,34,199,doteMFHPv18,92.0
On World War II and Nazi Symbolism: A Note from Extra History,2016-02-15,685564,10282,1196,1250,LSjFUOA2oZM,130.0
Justinian & Theodora - Lies 2 - Extra History,2016-03-05,271535,5047,90,454,wNs4Lklnky4,980.0
"♫ Justinian & Theodora: ""Monogenes Pais"" - Sean and Dean Kiner - Extra History Music",2016-03-05,349192,5610,50,417,kSWO0JOKmWA,90.0
Suleiman the Magnificent - Lies - Extra History,2016-04-23,406289,7472,261,894,ltT_CvI5wv0,1456.0
"♫ Suleiman the Magnificent: ""The Lawgiver"" - Sean and Dean Kiner - Extra History Music",2016-04-23,312190,4433,62,321,38pQQZj1HWM,70.0
Early Christian Schisms - Lies - Extra History,2016-05-28,384567,6565,165,921,6dnECIPXIRY,1165.0
"♫ Early Christian Schisms: ""Oxyrhynchus Hymn"" - Sean and Dean Kiner - Extra History Music",2016-05-28,234262,2645,49,157,SeZ6VJ-bQ80,73.0
The History of Writing - Where the Story Begins - Extra History,2016-06-04,1314290,38564,455,3254,HyjLt_RGEww,429.0
Samuel HaNagid - A Prince of Jews - Extra History,2016-06-11,909040,17634,305,1095,h5oBgayr9S0,557.0
Urbino - The Light of Italy: Federico da Montefeltro - Extra History,2016-07-16,1344563,29033,228,1529,kAfNQ_XiPjQ,445.0
First Opium War - Lies - Extra History,2016-07-23,470730,6780,219,727,v9beMOxGOrk,1540.0
"♫ First Opium War: ""Waning Moon"" - Sean and Dean Kiner - Extra History Music",2016-07-23,312075,3871,40,215,BeBeJnqk6V0,80.0
Lindisfarne  - An Age Borne in Fire - Extra History,2016-07-30,1263174,23664,280,1829,qc_wCJd9DKw,377.0
Gracchus the Elder - Prequel: In His Footsteps - Extra History,2016-09-10,896809,16042,144,724,cXRzijwTcGQ,694.0
The Brothers Gracchi - Lies - Extra History,2016-09-24,239375,4107,99,395,UZhcMftzjMU,1050.0
