Rome: The Punic Wars - The First Punic War - Extra History - #1,Rome: The Punic Wars ,2013-09-06,4216521,54272,956,2826,EbBHk_zLTmY,553.0
Rome: The Punic Wars - The Second Punic War Begins - Extra History - #2,Rome: The Punic Wars ,2013-09-13,2358752,30341,408,1513,lf0-Yki5p40,666.0
Rome: The Punic Wars - The Second Punic War Rages On - Extra History - #3,Rome: The Punic Wars ,2013-09-20,2038971,28755,302,1786,wT_rev5VAQc,758.0
Rome: The Punic Wars - The Conclusion of the Second Punic War - Extra History - #4,Rome: The Punic Wars ,2013-09-27,1869882,33752,260,2071,McT1H-NVCMQ,700.0
World War I: The Seminal Tragedy - The Concert of Europe - Extra History - #1,World War I: The Seminal Tragedy ,2014-08-31,2859312,40910,646,2863,S-wSL4WqUws,594.0
World War I: The Seminal Tragedy - One Fateful Day in June - Extra History - #2,World War I: The Seminal Tragedy ,2014-09-13,2096256,31277,451,2887,kyCmh9G1fpo,497.0
World War I: The Seminal Tragedy - The July Crisis - Extra History - #3,World War I: The Seminal Tragedy ,2014-09-27,1905688,25077,233,1263,zroZqvr4whk,519.0
World War I: The Seminal Tragedy - The Final Act - Extra History - #4,World War I: The Seminal Tragedy ,2014-10-11,1811965,38198,263,4000,WukYrrTH3ms,715.0
Warring States Japan: Sengoku Jidai - Battle of Okehazama - Extra History - #1,Warring States Japan: Sengoku Jidai ,2014-11-08,3737012,47440,734,2344,hDsdkoln59A,563.0
Warring States Japan: Sengoku Jidai - The Siege of Inabayama Castle - Extra History - #2,Warring States Japan: Sengoku Jidai ,2014-11-22,2438769,30943,306,1161,I2yT2nitGDk,461.0
Warring States Japan: Sengoku Jidai - Warrior Monks of Hongan-ji and Hiei - Extra History - #3,Warring States Japan: Sengoku Jidai ,2014-12-06,2297685,29161,260,1559,G3frtoMaxZE,533.0
Warring States Japan: Sengoku Jidai - The Death of Oda Nobunaga - Extra History - #4,Warring States Japan: Sengoku Jidai ,2014-12-20,2328783,28475,270,1753,ht6h4-MsMOY,560.0
Warring States Japan: Sengoku Jidai - How Toyotomi Unified Japan - Extra History - #5,Warring States Japan: Sengoku Jidai ,2015-01-17,1929730,25925,235,1577,lBD8OAegEw0,542.0
Warring States Japan: Sengoku Jidai - The Campaign of Sekigahara - Extra History - #6,Warring States Japan: Sengoku Jidai ,2015-01-31,1872665,31378,267,1648,5vscOHPFUf0,597.0
England: South Sea Bubble - The Sharp Mind of John Blunt - Extra History - #1,England: South Sea Bubble ,2015-02-28,2528064,34641,476,1986,k1kndKWJKB8,549.0
England: South Sea Bubble - Too Big to Fail - Extra History - #2,England: South Sea Bubble ,2015-03-14,1773301,21461,247,1010,Fsk6oZm1EEA,513.0
England: South Sea Bubble - Buying Out Britain - Extra History - #3,England: South Sea Bubble ,2015-03-28,1603639,20168,165,911,1vcF5rebN20,576.0
England: South Sea Bubble - The Bubble Pops - Extra History - #4,England: South Sea Bubble ,2015-04-11,1431355,18791,151,574,SIlnsP6AjP8,416.0
England: South Sea Bubble - It Was Walpole - Extra History - #5,England: South Sea Bubble ,2015-04-25,1432684,24103,179,1642,a_1IpUCUuVc,530.0
Africa: Zulu Empire - Shaka Zulu Becomes King - Extra History - #1,Africa: Zulu Empire ,2015-05-16,2558939,38720,821,2831,BZLGKFWlRzY,452.0
Africa: Zulu Empire - The Wrath of Shaka Zulu - Extra History - #2,Africa: Zulu Empire ,2015-05-23,1790864,23896,292,1518,GUpaZ0hMso4,517.0
Africa: Zulu Empire - Diamonds in South Africa - Extra History - #3,Africa: Zulu Empire ,2015-05-30,1512311,20639,243,1232,-JG-5otw0O8,544.0
Africa: Zulu Empire - Last Stands and Changing Fortunes - Extra History - #4,Africa: Zulu Empire ,2015-06-06,1423153,22954,243,2177,KG_mbCgp_zU,558.0
Byzantine Empire: Justinian and Theodora - From Swineherd to Emperor - Extra History - #1,Byzantine Empire: Justinian and Theodora ,2015-06-20,2502789,31294,497,1523,H_2E0RxVHH4,489.0
Byzantine Empire: Justinian and Theodora - The Reforms of Justinian - Extra History - #2,Byzantine Empire: Justinian and Theodora ,2015-06-27,1843743,24094,213,947,klq84Z9O4GU,581.0
Byzantine Empire: Justinian and Theodora - Purple is the Noblest Shroud - Extra History - #3,Byzantine Empire: Justinian and Theodora ,2015-07-04,1658628,22069,226,1168,eGL_M1SQV5E,543.0
Byzantine Empire: Justinian and Theodora - Vanquishing the Vandals - Extra History - #4,Byzantine Empire: Justinian and Theodora ,2015-07-11,1528497,20148,186,784,_NpDvBX2XEI,522.0
Byzantine Empire: Justinian and Theodora - Impossible Burden of Fate - Extra History - #5,Byzantine Empire: Justinian and Theodora ,2015-07-18,1422551,19336,152,713,oakBpmsJJ9Q,493.0
Byzantine Empire: Justinian and Theodora - Fighting for Rome - Extra History - #6,Byzantine Empire: Justinian and Theodora ,2015-07-25,1361570,23131,159,869,0W8wIAV1Pu4,647.0
Europe: The First Crusade - The People's Crusade - Extra History - #1,Europe: The First Crusade ,2015-08-08,3351881,41569,2144,3709,HIs5B2U7US0,493.0
Europe: The First Crusade - Peter the Hermit - Extra History - #2,Europe: The First Crusade ,2015-08-15,2235516,28672,538,2430,aAodRUPN7lE,531.0
Europe: The First Crusade - A Good Crusade? - Extra History - #3,Europe: The First Crusade ,2015-08-22,2083639,28946,399,1632,pI5_idvxm18,572.0
Europe: The First Crusade - Men of Iron - Extra History - #4,Europe: The First Crusade ,2015-08-29,1939414,26860,383,1171,UdzsMEHUBrQ,616.0
Europe: The First Crusade - Siege of Antioch - Extra History - #5,Europe: The First Crusade ,2015-09-05,1784648,23909,267,1011,ZvUibFUJFKM,537.0
Europe: The First Crusade - On to Jerusalem - Extra History - #6,Europe: The First Crusade ,2015-09-12,1735455,25899,401,2165,oyYGLoo3bj0,542.0
Korea: Admiral Yi - Keep Beating the Drum - Extra History - #1,Korea: Admiral Yi ,2015-09-26,3483155,47340,604,3011,3ieaDfD_h6s,472.0
Korea: Admiral Yi - Be Like a Mountain - Extra History - #2,Korea: Admiral Yi ,2015-10-03,2465024,32576,317,1591,hKBOoPfMvLc,499.0
Korea: Admiral Yi - The Bright Moonlight of Hansando - Extra History - #3,Korea: Admiral Yi ,2015-10-10,2239143,31199,268,2027,p97Xa6aB2jA,533.0
Korea: Admiral Yi - Those Who Seek Death Shall Live - Extra History - #4,Korea: Admiral Yi ,2015-10-17,2176361,32548,273,3074,QTan6eDphCk,619.0
Korea: Admiral Yi - Martial Lord of Loyalty - Extra History - #5,Korea: Admiral Yi ,2015-10-24,2113751,49265,257,5457,39Gsx6PaxiY,445.0
"England: The Broad Street Pump - You Know Nothing, John Snow - Extra History - #1",England: The Broad Street Pump ,2015-11-14,2209217,31096,367,1431,TLpzHHbFrHY,454.0
England: The Broad Street Pump - Epidemiology Begins! - Extra History - #2,England: The Broad Street Pump ,2015-11-21,1590229,21685,174,851,1jlsyucUwpo,365.0
England: The Broad Street Pump - Map of the Blue Death - Extra History - #3,England: The Broad Street Pump ,2015-11-28,1515671,29292,188,1466,9NVT6iZP2qg,540.0
Mary Seacole - A Bold Front to Fortune - Extra History - #1,Mary Seacole ,2016-01-09,1572265,25955,397,1378,xT9BTuBtCJs,558.0
Mary Seacole - Mother Seacole in the Crimea - Extra History - #2,Mary Seacole ,2016-01-16,1206972,32752,268,1624,eADLWvWqK5Q,608.0
Justinian & Theodora - The Cracks Begin to Spread - Extra History - #7,Justinian & Theodora,2016-01-23,1192079,18953,138,1012,oUtEJtBeCaQ,546.0
Justinian & Theodora - Bad Faith - Extra History - #8,Justinian & Theodora,2016-01-30,1048008,17610,108,544,EO9DuuhNEoE,480.0
Justinian & Theodora - Justinian's Rival - Extra History - #9,Justinian & Theodora,2016-02-06,1074862,17487,135,1048,aN1imOXR4b4,515.0
Theodora - This is My Empire - Extra History - #10,Justinian & Theodora,2016-02-13,1070191,18495,176,1083,RwXAGiIVsgQ,469.0
The Battle of Kursk - Operation Barbarossa - Extra History - #1,The Battle of Kursk ,2016-02-15,3140696,39422,1775,3107,C-UvLZSK3CI,504.0
Justinian & Theodora - The Emperor Who Never Sleeps - Extra History - #11,Justinian & Theodora,2016-02-20,1013632,17891,122,978,I6vn6uRlPL8,538.0
"Justinian - Caesar I was, and am Justinian - Extra History - #12",Justinian & Theodora,2016-02-27,947197,25428,134,2158,6oHr-zd6Bew,448.0
The Battle of Kursk - Preparations - Extra History - #2,The Battle of Kursk ,2016-02-29,2080289,31844,543,1294,QdK2Sim_ZRU,464.0
Suleiman the Magnificent - Hero of All That Is - Extra History - #1,Suleiman the Magnificent ,2016-03-12,2492733,37426,1026,2559,JGZSkLq3Eng,470.0
Suleiman the Magnificent - Master of the World - Extra History - #2,Suleiman the Magnificent ,2016-03-19,1738142,25141,427,1674,pNYIZJew4oE,487.0
The Battle of Kursk- Operation Citadel - Extra History - #3,The Battle of Kursk ,2016-03-21,1826991,24017,340,1117,6udnj7PvZZ8,468.0
Suleiman the Magnificent - Sultan of Sultans - Extra History - #3,Suleiman the Magnificent ,2016-03-26,1579284,24047,436,1742,DqN0EFFUA6w,502.0
The Battle of Kursk - Control of the Eastern Front - Extra History - #4,The Battle of Kursk ,2016-03-28,1669071,24733,436,1808,rQlFi9s_e2s,462.0
Suleiman the Magnificent - The Shadow of God - Extra History - #4,Suleiman the Magnificent ,2016-04-02,1442774,22916,303,1312,JH4jcSFOx70,473.0
WW2: The Resource War - Arsenal of Democracy - Extra History - #1,WW2: The Resource War ,2016-04-05,2837988,41870,751,2597,NYv-GC8DgMk,524.0
Suleiman the Magnificent - Slave of God - Extra History - #5,Suleiman the Magnificent ,2016-04-09,1347983,21033,321,2220,S7p4AcTBG7o,565.0
WW2: The Resource War - Lend-Lease - Extra History - #2,WW2: The Resource War ,2016-04-12,1831733,27586,644,2089,N5PTeDe4jTQ,434.0
Suleiman the Magnificent - Custodian of the Two Holy Mosques - Extra History - #6,Suleiman the Magnificent ,2016-04-16,1236102,24348,681,2727,5gTjfYqiBqg,499.0
WW2: The Resource War - The Engines of War - Extra History - #3,WW2: The Resource War ,2016-04-19,1762639,28195,315,1550,OvDsvHNvVZw,458.0
WW2: The Resource War - Strategic Bombing - Extra History - #4,WW2: The Resource War ,2016-04-26,1582549,27375,944,2381,zOXbYAd6TLo,461.0
Early Christian Schisms - Before Imperium - Extra History - #1,Early Christian Schisms ,2016-04-30,1901182,31307,698,2519,E1ZZeCDGHJE,496.0
Early Christian Schisms - The Woes of Constantine - Extra History - #2,Early Christian Schisms ,2016-05-07,1329475,20172,224,1623,hZsZXHPDwsw,535.0
Early Christian Schisms - The Council of Nicaea - Extra History - #3,Early Christian Schisms ,2016-05-14,1198332,17928,224,1144,6d2lOQpuqd4,486.0
"Early Christian Schisms - Ephesus, the Robber Council, and Chalcedon - Extra History - #4",Early Christian Schisms ,2016-05-21,1062974,18042,182,1700,f9lEcwLnwfg,495.0
First Opium War - Trade Deficits and the Macartney Embassy - Extra History - #1,First Opium War ,2016-06-18,3756116,44325,846,3009,fgQahGsYokU,465.0
First Opium War - The Righteous Minister - Extra History - #2,First Opium War ,2016-06-25,2775670,33262,432,2016,qHmuuc7m1AA,413.0
First Opium War - Gunboat Diplomacy - Extra History - #3,First Opium War ,2016-07-02,2221927,29600,320,1731,jAjUqwauf-A,489.0
First Opium War - Conflagration and Surrender - Extra History - #4,First Opium War ,2016-07-09,2250039,33356,378,2669,s9WRmsHFUg0,514.0
The Brothers Gracchi - How Republics Fall - Extra History - #1,The Brothers Gracchi ,2016-08-06,1818984,25136,351,1870,ODI1VOOoey0,508.0
The Brothers Gracchi - Populares - Extra History - #2,The Brothers Gracchi ,2016-08-13,1267171,18481,165,1102,FC2Hvg7RdSY,442.0
The Brothers Gracchi - Ochlocracy - Extra History - #3,The Brothers Gracchi ,2016-08-20,1099827,16568,129,651,kpFmzkxd-HI,365.0
Hiawatha - The Great Law of Peace - Extra History - #1,Hiawatha ,2016-08-25,1348348,25927,331,1482,79RApCgwZFw,600.0
The Brothers Gracchi - Enter Gaius - Extra History - #4,The Brothers Gracchi ,2016-08-27,1071101,17556,121,582,WpL7xwCBM34,442.0
Hiawatha - Government for the People - Extra History - #2,Hiawatha ,2016-09-01,895594,23776,196,1371,RPtUSKKzBcM,614.0
The Brothers Gracchi - The Final Fall - Extra History - #5,The Brothers Gracchi ,2016-09-03,965474,16824,166,898,nfZWu6PsUHI,433.0
The History of Paper Money - Origins of Exchange - Extra History - #1,The History of Paper Money ,2016-10-01,2367951,33777,828,1924,-nZkP2b-4vo,495.0
The History of Paper Money - Not Just Noodles - Extra History - #2,The History of Paper Money ,2016-10-08,1550242,23630,264,1012,rPHTmGjoe2k,466.0
The History of Paper Money - Barebones Economy - Extra History - #3,The History of Paper Money ,2016-10-15,1322149,21579,201,1018,GKtNuzakzMA,452.0
The History of Paper Money - Lay Down the Law - Extra History - #4,The History of Paper Money ,2016-10-22,1194636,18900,208,970,lzH1p3t2oRE,516.0
The History of Paper Money - Working out the Kinks - Extra History - #5,The History of Paper Money ,2016-10-29,1082844,17718,278,964,LrB9bS2VOLE,560.0
The History of Paper Money - The Gold Standard - Extra History - #6,The History of Paper Money ,2016-11-05,1052846,23395,261,1847,GNo7MDN5-0g,600.0
Simón Bolívar - Reverberations - Extra History - #1,Simón Bolívar ,2016-11-19,1713209,26564,423,1997,80b4ROFoaFY,485.0
Simón Bolívar - Francisco de Miranda - Extra History - #2,Simón Bolívar ,2016-11-26,1193115,18874,214,850,N3vu2JYwxSY,648.0
Simón Bolívar - Leavings and Returns - Extra History - #3,Simón Bolívar ,2016-12-03,982642,15840,164,829,WGW-kg0b9D0,523.0
Simón Bolívar - Defeat is Not Surrender - Extra History - #4,Simón Bolívar ,2016-12-10,935123,16239,181,814,Ie0IoiQQFKA,647.0
Simón Bolívar - Heavy is the Head - Extra History - #5,Simón Bolívar ,2016-12-17,790242,14186,131,602,90Chn1wgm_M,485.0
Simón Bolívar - All Good Things - Extra History - #6,Simón Bolívar ,2016-12-24,764422,16862,163,1267,x_M2LX980Aw,586.0
Catherine the Great - Not Quite Catherine Yet - Extra History - #1,Catherine the Great ,2017-01-28,5480756,75082,1772,2860,r1-OC_4cx_o,498.0
Catherine the Great - Not Quite Empress Yet - Extra History - #2,Catherine the Great ,2017-02-04,3394731,50555,561,1634,ObmkeDWQaus,535.0
Catherine the Great - Empress Catherine at Last - Extra History - #3,Catherine the Great ,2017-02-11,3227372,47912,536,2026,Gtlxbyzd7Vg,635.0
"Catherine the Great - Reforms, Rebellion, and Greatness - Extra History - #4",Catherine the Great ,2017-02-18,2595961,40441,438,1535,yjk6nmntdDI,520.0
"Catherine the Great - Potemkin, Catherine's General, Advisor, and Lover - Extra History - #5",Catherine the Great ,2017-02-25,2306777,42595,531,1604,6Gzss-iVd1g,604.0
Catherine the Great - Succession - Extra History - #6,Catherine the Great ,2017-03-04,2125065,41459,482,2303,zUBPhrnfoBo,511.0
Ned Kelly - Becoming a Bushranger - Extra History - #1,Ned Kelly ,2017-03-18,2002227,29999,413,1477,a1WmidFwFzY,519.0
Ned Kelly - Under Suspicion - Extra History - #2,Ned Kelly ,2017-03-25,1482922,23237,251,958,jry47Hf1y80,623.0
Ned Kelly - Shoot Out at Stringybark Creek - Extra History - #3,Ned Kelly ,2017-04-01,1283388,20490,232,798,sZ2b9ys7ALI,569.0
Ned Kelly - Kelly Country - Extra History - #4,Ned Kelly ,2017-04-08,1322877,21965,207,1042,S1qffXgDqNM,583.0
Ned Kelly - The Iron Outlaw - Extra History - #5,Ned Kelly ,2017-04-15,1245943,25321,230,2002,fBc0BnIHFbE,514.0
The Articles of Confederation - Becoming the United States - Extra History - #1,The Articles of Confederation ,2017-05-06,1855614,24217,581,1583,C6rHSiN0vKk,570.0
Hunting the Bismarck - The Pride of Germany - Extra History - #1,Hunting the Bismarck ,2017-05-11,3794631,48313,1500,4206,2CV1tvMYFRs,632.0
The Articles of Confederation - Ratification - Extra History - #2,The Articles of Confederation ,2017-05-13,1121304,15578,207,812,lPLA_VPMsUg,469.0
Hunting the Bismarck - The Mighty HMS Hood - Extra History - #2,Hunting the Bismarck ,2017-05-18,2504366,35821,546,2346,Kz8pmbytxoQ,665.0
