World War I: The Seminal Tragedy - Lies - Extra History,2014-10-25,703099,12783,223,985,aiKGPAMIWKs,977.0
Warring States Japan: Sengoku Jidai - Lies - Extra History,2015-02-14,570372,8295,333,759,0lNYvGEmRO4,833.0
England: South Sea Bubble - Lies - Extra History,2015-05-09,493248,7717,169,698,NqeXXzKTzRU,1263.0
Zulu Empire - Lies - Extra History,2015-06-13,437112,6634,149,415,0C6pjINyK5Y,723.0
Byzantine Empire: Justinian and Theodora - Lies - Extra History,2015-08-01,456145,7345,144,567,FZwsRVgEu3A,1095.0
Europe: The First Crusade - Lies - Extra History,2015-09-19,616004,9400,437,1061,15KhdeIc0EI,1539.0
Middle East: Odenathus - Ghosts of the Desert - Extra History,2015-10-31,1287723,22837,263,987,0Pf6PMSB8uo,501.0
Middle East: Palmyra Today - Afterword - Extra History,2015-10-31,422133,13108,116,1411,v-GgknZYu3s,203.0
Korea: Admiral Yi - Lies - Extra History,2015-11-07,591762,10492,190,904,C3yCzHIbkgA,1240.0
♫ Admiral Yi: Drums of War - Sean and Dean Kiner - Extra History Music,2015-11-07,689949,12352,76,748,OYz0y5xUqmk,61.0
The Sanitary Movement - A John Snow Epilogue - Extra History,2015-12-05,1027599,22556,116,1213,cba7di0eL8I,394.0
England: The Broad Street Pump - Lies - Extra History,2015-12-12,318664,5826,94,601,rg_7q_FPjxQ,906.0
♫ The Broad Street Pump Theme - Sean and Dean Kiner - Extra History Music,2015-12-12,292391,4469,34,199,doteMFHPv18,92.0
On World War II and Nazi Symbolism: A Note from Extra History,2016-02-15,686547,10294,1197,1253,LSjFUOA2oZM,130.0
Justinian & Theodora - Lies 2 - Extra History,2016-03-05,272288,5059,90,455,wNs4Lklnky4,980.0
"♫ Justinian & Theodora: ""Monogenes Pais"" - Sean and Dean Kiner - Extra History Music",2016-03-05,350654,5629,50,417,kSWO0JOKmWA,90.0
Suleiman the Magnificent - Lies - Extra History,2016-04-23,407569,7497,261,897,ltT_CvI5wv0,1456.0
"♫ Suleiman the Magnificent: ""The Lawgiver"" - Sean and Dean Kiner - Extra History Music",2016-04-23,313535,4450,62,321,38pQQZj1HWM,70.0
Early Christian Schisms - Lies - Extra History,2016-05-28,386011,6590,165,920,6dnECIPXIRY,1165.0
