World War I: The Seminal Tragedy - Lies - Extra History,2014-10-25,701653,12757,222,994,aiKGPAMIWKs,977.0
Warring States Japan: Sengoku Jidai - Lies - Extra History,2015-02-14,569544,8280,333,759,0lNYvGEmRO4,833.0
England: South Sea Bubble - Lies - Extra History,2015-05-09,491251,7683,168,696,NqeXXzKTzRU,1263.0
Zulu Empire - Lies - Extra History,2015-06-13,436214,6622,149,420,0C6pjINyK5Y,723.0
Byzantine Empire: Justinian and Theodora - Lies - Extra History,2015-08-01,454974,7328,143,566,FZwsRVgEu3A,1095.0
Europe: The First Crusade - Lies - Extra History,2015-09-19,613793,9353,436,1059,15KhdeIc0EI,1539.0
Middle East: Odenathus - Ghosts of the Desert - Extra History,2015-10-31,1279494,22700,263,983,0Pf6PMSB8uo,501.0
Middle East: Palmyra Today - Afterword - Extra History,2015-10-31,421346,13086,116,1410,v-GgknZYu3s,203.0
Korea: Admiral Yi - Lies - Extra History,2015-11-07,589240,10431,188,900,C3yCzHIbkgA,1240.0
♫ Admiral Yi: Drums of War - Sean and Dean Kiner - Extra History Music,2015-11-07,686933,12299,76,747,OYz0y5xUqmk,61.0
The Sanitary Movement - A John Snow Epilogue - Extra History,2015-12-05,1022712,22476,116,1209,cba7di0eL8I,394.0
England: The Broad Street Pump - Lies - Extra History,2015-12-12,317930,5820,94,601,rg_7q_FPjxQ,906.0
♫ The Broad Street Pump Theme - Sean and Dean Kiner - Extra History Music,2015-12-12,291474,4460,34,199,doteMFHPv18,92.0
On World War II and Nazi Symbolism: A Note from Extra History,2016-02-15,685584,10282,1196,1250,LSjFUOA2oZM,130.0
Justinian & Theodora - Lies 2 - Extra History,2016-03-05,271546,5047,90,454,wNs4Lklnky4,980.0
"♫ Justinian & Theodora: ""Monogenes Pais"" - Sean and Dean Kiner - Extra History Music",2016-03-05,349218,5612,50,417,kSWO0JOKmWA,90.0
Suleiman the Magnificent - Lies - Extra History,2016-04-23,406323,7472,261,894,ltT_CvI5wv0,1456.0
"♫ Suleiman the Magnificent: ""The Lawgiver"" - Sean and Dean Kiner - Extra History Music",2016-04-23,312212,4433,62,321,38pQQZj1HWM,70.0
Early Christian Schisms - Lies - Extra History,2016-05-28,384612,6567,165,921,6dnECIPXIRY,1165.0
