World War I: The Seminal Tragedy - Lies - Extra History,2014-10-25,702226,12771,222,994,aiKGPAMIWKs,977.0
Warring States Japan: Sengoku Jidai - Lies - Extra History,2015-02-14,569884,8286,333,759,0lNYvGEmRO4,833.0
England: South Sea Bubble - Lies - Extra History,2015-05-09,491851,7698,168,697,NqeXXzKTzRU,1263.0
Zulu Empire - Lies - Extra History,2015-06-13,436545,6627,149,415,0C6pjINyK5Y,723.0
Byzantine Empire: Justinian and Theodora - Lies - Extra History,2015-08-01,455378,7335,143,566,FZwsRVgEu3A,1095.0
Europe: The First Crusade - Lies - Extra History,2015-09-19,614628,9378,436,1062,15KhdeIc0EI,1539.0
Middle East: Odenathus - Ghosts of the Desert - Extra History,2015-10-31,1282715,22762,263,983,0Pf6PMSB8uo,501.0
Middle East: Palmyra Today - Afterword - Extra History,2015-10-31,421638,13092,116,1410,v-GgknZYu3s,203.0
Korea: Admiral Yi - Lies - Extra History,2015-11-07,590014,10438,188,902,C3yCzHIbkgA,1240.0
♫ Admiral Yi: Drums of War - Sean and Dean Kiner - Extra History Music,2015-11-07,688012,12310,76,747,OYz0y5xUqmk,61.0
The Sanitary Movement - A John Snow Epilogue - Extra History,2015-12-05,1024481,22498,116,1209,cba7di0eL8I,394.0
England: The Broad Street Pump - Lies - Extra History,2015-12-12,318153,5821,94,601,rg_7q_FPjxQ,906.0
♫ The Broad Street Pump Theme - Sean and Dean Kiner - Extra History Music,2015-12-12,291806,4463,34,199,doteMFHPv18,92.0
On World War II and Nazi Symbolism: A Note from Extra History,2016-02-15,685922,10285,1197,1250,LSjFUOA2oZM,130.0
Justinian & Theodora - Lies 2 - Extra History,2016-03-05,271812,5047,90,454,wNs4Lklnky4,980.0
"♫ Justinian & Theodora: ""Monogenes Pais"" - Sean and Dean Kiner - Extra History Music",2016-03-05,349739,5614,50,417,kSWO0JOKmWA,90.0
Suleiman the Magnificent - Lies - Extra History,2016-04-23,406717,7483,261,894,ltT_CvI5wv0,1456.0
